Slug	Name	Dimension	Granularity	Function_name	Formalization_latex	Formalization_fp	Description_fp
expected-lead-time-t-g	Expected Lead Time	T	G	\(\mathit{e}\mathit{LT}(g)\)	\(\frac{\sum _{c\in g}\mathit{LT}(c)}{\mathit{C}(g)}\)	\(\frac{\sum_{c \in g} \mathit{LT}(c)}{\mathit{C}(g)}\)	"$\mathit{LT}(c)$ returns the lead time of case $c$.
\newline $\mathit{C}(g)$ returns the total number of cases in group $g$.
\newline The numerator $\sum_{c \in g} \mathit{LT}(c)$ sums the lead times of all cases in $g$.\\"
expected-lead-time-deviation-from-expectation-t-g	Expected Lead Time Deviation from Expectation	T	G	\(\mathit{e}\mathit{LTDE}(g, \mathit{val})\)	\(\frac{\sum _{c \in g} \mathit{LTDE}(c, \mathit{val})}{\mathit{C}(g)}\)	\(\frac{\sum _{c \in g} \mathit{LTDE}(c, \mathit{val})}{\mathit{C}(g)}\)	"$\mathit{LTDE}(c, \mathit{val})$ returns the lead time deviation from expectation of case $c$.
\newline $\mathit{C}(g)$ returns the number of cases in group $g$.\\"
expected-lead-time-deviation-from-time-limit-t-g	Expected Lead Time Deviation from time Limit	T	G	\(\mathit{e}\mathit{LTDL}(g, \mathit{val})\)	\(\frac{\sum _{c \in g} \mathit{LTDL}(c, \mathit{val})}{\mathit{C}(g)}\)	\(\frac{\sum _{c \in g} \mathit{LTDL}(c, \mathit{val})}{\mathit{C}(g)}\)	"$\mathit{LTDL}(c, \mathit{val})$ returns the lead time deviation from time Limit for case $c$.
\newline $\mathit{val}$ represents the predefined time Limit.
\newline $\mathit{C}(g)$ returns the number of cases in group $g$.\\"
expected-lead-time-from-activity-a-t-g	Expected Lead Time from activity A	T	G	\(\mathit{e}\mathit{LTfA}(g, \mathit{a})\)	"\(\frac{\sum _{c \in g} \begin{cases}
\mathit{LTfA}(c, \mathit{a}) & \mathit{if \ } \mathit{fi}\mathit{^{s}}(c, \mathit{a}) \neq \emptyset \\ 0 & \mathit{if \ } \mathit{fi}\mathit{^{s}}(c, \mathit{a}) = \emptyset
\end{cases}}{|\{c \in g \mid \mathit{fi}\mathit{^{s}}(c, \mathit{a}) \neq \emptyset\}|}\)"	"\(\frac{\sum _{c \in g} \begin{cases}
\mathit{LTfA}(c, \mathit{a}) & \mathit{if \ } \mathit{fi}\mathit{^{s}}(c, \mathit{a}) \neq \emptyset \\
0 & \mathit{if \ } \mathit{fi}\mathit{^{s}}(c, \mathit{a}) = \emptyset
\end{cases}}{
\sum_{c \in \mathit{cases}(g)} 
\begin{cases}
1 & \text{if } \mathit{fi}\mathit{^{s}}(c, \mathit{a}) \neq \emptyset \\
0 & \text{otherwise}
\end{cases}
}\)"	"$\mathit{fi}\mathit{^{s}}(c, \mathit{a})$ returns the set of first started instances of activity $\mathit{a}$ in case $c$.
\newline $\mathit{LTfA}(c, \mathit{a})$ returns the lead time from the first started instance of activity $\mathit{a}$ in case $c$ to the end of case $c$.
\\"
expected-lead-time-from-activity-a-to-activity-b-t-g	Expected Lead Time from activity A to activity B	T	G	\(\mathit{e}\mathit{LTAB}(g, \mathit{a}, \mathit{b})\)	"\(\frac{\sum _{c \in g} \begin{cases}
\mathit{LTAB}(c, \mathit{a}, \mathit{b}) & \mathit{if \ } \mathit{fi}\mathit{^{sc}}(c, \mathit{a}, \mathit{b}) \neq \emptyset \\ 0 & \mathit{if \ } \mathit{fi}\mathit{^{sc}}(c, \mathit{a}, \mathit{b}) = \emptyset
\end{cases}}{|\{c \in g \mid \mathit{fi}\mathit{^{sc}}(c, \mathit{a}, \mathit{b}) \neq \emptyset)\}|}\)"	"\[
\frac{
\sum_{c \in \mathit{cases}(g)} 
\begin{cases}
\mathit{LTAB}(c, a, b) & \text{if } \mathit{fi}(c, \mathit{a}, \mathit{b}) \neq \emptyset \\
0 & \text{otherwise}
\end{cases}
}{
\sum_{c \in \mathit{cases}(g)} 
\begin{cases}
1 & \text{if } \mathit{fi}(c, \mathit{a}, \mathit{b})  \neq \emptyset \\
0 & \text{otherwise}
\end{cases}
}
\]

\(\mathit{cases}(g)\): Set of all cases belonging to group \(g\)."	"\(\mathit{LTAB}(c, a, b)\): Lead time between activity \(a\) and activity \(b\) within case \(c\).
\newline
\(\mathit{fi}(c, \mathit{a}, \mathit{b})\): Function that returns the flow instance between \(a\) and \(b\) in case \(c\). If empty, the pair \((a, b)\) does not occur in \(c\). \\"
expected-lead-time-to-activity-a-t-g	Expected Lead Time to activity A	T	G	\(\mathit{e}\mathit{LTtA}(g, \mathit{a})\)	"\(\frac{\sum _{c \in g} \begin{cases}
\mathit{LTtA}(c, \mathit{a}) & \mathit{if \ } \mathit{fi}\mathit{^{c}}(c, \mathit{a}) \neq \emptyset \\ 0 & \mathit{if \ } \mathit{fi}\mathit{^{c}}(c, \mathit{a}) = \emptyset
\end{cases}}{|\{c \in g \mid \mathit{if \ } \mathit{fi}\mathit{^{c}}(c, \mathit{a}) \neq \emptyset\}|}\)"	"\(\displaystyle \frac{\sum_{c \in g} 
\begin{cases} 
\mathit{LTtA}(c, \mathit{a}) & \mathit{if \ } \mathit{fi}\mathit{^{c}}(c, \mathit{a}) \neq \emptyset \\ 
0 & \mathit{if \ } \mathit{fi}\mathit{^{c}}(c, \mathit{a}) = \emptyset 
\end{cases}}
{
\sum_{c \in \mathit{cases}(g)} 
\begin{cases}
1 & \text{if } \mathit{fi}\mathit{^{c}}(c, \mathit{a}) \neq \emptyset \\
0 & \text{otherwise}
\end{cases}
}\)"	"\(\mathit{LTtA}(c, \mathit{a})\) returns the lead time from the start of case \(c\) to the first completed instance of activity \(\mathit{a}\) in case \(c\).
\newline \(\mathit{fi}\mathit{^{c}}(c, \mathit{a})\) returns the set of first completed instances of activity \(\mathit{a}\) in case \(c\).
\newline \(\left| \{ c \in g \mid \mathit{fi}\mathit{^{c}}(c, \mathit{a}) \neq \emptyset \} \right|\) returns the number of cases in group \(g\) where activity \(\mathit{a}\) occurs at least once (i.e., cases with a non-empty \(\mathit{fi}\mathit{^{c}}(c, \mathit{a})\)).\\"
expected-maintenance-cost-c-g	Expected Maintenance Cost	C	G	\(\mathit{e}\mathit{MainC}(g)\)	\(\frac{\mathit{MainC}(g)}{\mathit{C}(g)}\)	\(\frac{\mathit{MainC}(g)}{\mathit{C}(g)}\)	"\(\mathit{MainC}(g)\) returns the total maintenance cost for group \(g\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-missed-deadline-cost-c-g	Expected Missed Deadline Cost	C	G	\(\mathit{e}\mathit{MDC}(g)\)	\(\frac{\mathit{MDC}(g)}{\mathit{C}(g)}\)	\(\frac{\mathit{MDC}(g)}{\mathit{C}(g)}\)	"\(\mathit{MDC}(g)\) returns the total missed deadline cost for group \(g\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-non-automated-activity-count-group-of-cases-granularity-q-g	Expected Non-Automated Activity count (group of cases granularity)	Q	G	\(\mathit{NAutA}(g)\)	\(\frac{\sum _{c \in g} \mathit{NAutA}(c)}{\mathit{C}(g)}\)	\(\frac{\sum _{c \in g} \mathit{NAutA}(c)}{\mathit{C}(g)}\)	"\(\mathit{NAutA}(c)\) returns the non-automated activity count for case \(c\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-non-automated-activity-instance-count-q-g	Expected Non-Automated activity Instance count	Q	G	\(\mathit{e}\mathit{NAutI}(g)\)	\(\frac{\mathit{NAutI}(g)}{\mathit{C}(g)}\)	\(\frac{\mathit{NAutI}(g)}{\mathit{C}(g)}\)	"\(\mathit{NAutI}(g)\) returns the total non-automated activity instance count for group \(g\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-optional-activity-count-f-g	Expected Optional Activity count	F	G	\(\mathit{e}\mathit{OptA}(g)\)	\(\frac{\sum _{c \in g} \mathit{OptA}(c)}{\mathit{C}(g)}\)	\(\frac{\sum _{c \in g} \mathit{OptA}(c)}{\mathit{C}(g)}\)	"\(\mathit{OptA}(c)\) returns the optional activity count for case \(c\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-optionality-f-g	Expected Optionality	F	G	\(\mathit{e}\mathit{Opt}(g)\)	\(\frac{\sum _{c \in g} \mathit{OptA}(c)}{\sum _{c \in g} \mathit{A}(c)}\)	\(\frac{\sum _{c \in g} \mathit{OptA}(c)}{\sum _{c \in g} \mathit{A}(c)}\)	"\(\mathit{OptA}(c)\) returns the optional activity count for case \(c\).
\newline \(\mathit{A}(c)\) returns the number of unique activities in case \(c\). \\"
expected-outcome-unit-count-q-g	Expected outcome Unit count	Q	G	"\(\mathit{e}\mathit{U}\mathit{^{\times}}(g)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{U}\mathit{^{\times}}(g)}{\mathit{C}(g)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for outcome unit calculations, i.e., it uses $\mathit{U}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for outcome unit calculations, i.e., it uses $\mathit{U}\mathit{^{sum}}$."	\(\frac{\mathit{U}(g)}{\mathit{C}(g)}\)	"\(\mathit{U}(g)\) returns the total outcome unit count for group \(g\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-overall-quality-q-g	Expected Overall Quality	Q	G	\(\mathit{e}\mathit{OQ}(g)\)	\(\frac{\sum _{c \in g} \mathit{OQ}(c)}{\mathit{C}(g)}\)	\(\frac{\sum _{c \in g} \mathit{OQ}(c)}{\mathit{C}(g)}\)	"\(\mathit{OQ}(c)\) returns the overall quality associated with case \(c\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-overhead-cost-c-g	Expected Overhead Cost	C	G	"\(\mathit{e}\mathit{OC}\mathit{^{\times}}(g)\) 
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{OC}\mathit{^{\times}}(g)}{\mathit{C}(g)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{OC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{OC}\mathit{^{sum}}$."	\(\frac{\mathit{OC}(g)}{\mathit{C}(g)}\)	"\(\mathit{OC}(g)\) returns the total overhead cost for group \(g\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-repeatability-q-g	Expected Repeatability	Q	G	\(\mathit{e}\mathit{Rep}(g)\)	\(1 - \frac{\sum _{c \in g} \mathit{A}(c)}{\mathit{I}(g)}\)	\(1 - \frac{\sum _{c \in g} \mathit{A}(c)}{\mathit{I}(g)}\)	"\(\mathit{A}(c)\) returns the number of unique activities in case \(c\).
\newline \(\mathit{I}(g)\) returns the total number of activity instances in group \(g\). \\"
expected-resource-count-c-g	Expected Resource count	C	G	\(\mathit{e}\mathit{R}(g)\)	\(\frac{\sum _{c \in g} \mathit{R}(c)}{\mathit{C}(g)}\)	\(\frac{\sum _{c \in g} \mathit{R}(c)}{\mathit{C}(g)}\)	"\(\mathit{R}(c)\) returns the resource count for case \(c\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-resource-count-g-g	Expected Resource count	G	G	\(\mathit{e}\mathit{R}(g)\)	\(\frac{\sum _{c \in g} \mathit{R}(c)}{\mathit{C}(g)}\)	\(\frac{\sum _{c \in \mathit{cases}(g)} \mathit{R}(c)}{\mathit{C}(g)}\)	"$\mathit{cases}(g)$ returns the set of cases in group of cases $g$.
\newline $\mathit{R}(c)$ returns the resource count of case $c$.
\newline $\mathit{C}(g)$ returns the case count of group of cases $g$. \\"
expected-rework-cost-c-g	Expected Rework Cost	C	G	"\(\mathit{e}\mathit{RC}\mathit{^{\times}}(g)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{RC}\mathit{^{\times}}(g)}{\mathit{C}(g)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{RC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{RC}\mathit{^{sum}}$."	\(\frac{\mathit{RC}(g)}{\mathit{C}(g)}\)	"\(\mathit{RC}(g)\) returns the total rework cost for group \(g\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-rework-count-c-g	Expected Rework Count	C	G	\(\mathit{e}\mathit{RewC}(g)\)	\(\frac{\mathit{RewC}(g)}{\mathit{C}(g)}\)	\(\frac{\mathit{RewC}(g)}{\mathit{C}(g)}\)	"\(\mathit{RewC}(g)\) returns the total rework count for group \(g\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-rework-count-q-g	Expected Rework Count	Q	G	\(\mathit{e}\mathit{RewC}(g)\)	\(\frac{\mathit{RewC}(g)}{\mathit{C}(g)}\)	\(\frac{\mathit{RewC}(g)}{\mathit{C}(g)}\)	"\(\mathit{RewC}(g)\) returns the total rework count for group \(g\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-rework-count-by-value-q-g	Expected Rework Count by Value	Q	G	\(\mathit{e}\mathit{RewCV}(g, \mathit{val})\)	\(\frac{\mathit{RewCV}(g, \mathit{val})}{\mathit{C}(g)}\)	\(\frac{\mathit{RewCV}(g, \mathit{val})}{\mathit{C}(g)}\)	"\(\mathit{RewCV}(g, \mathit{val})\) returns the total rework count by value \(\mathit{val}\) for group \(g\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-rework-of-activities-subset-q-g	Expected Rework of activities Subset	Q	G	\(\mathit{e}\mathit{RewSub}(g, \mathit{sub})\)	\(\frac{\mathit{RewSub}(g, \mathit{sub})}{\mathit{C}(g)}\)	\(\frac{\mathit{RewSub}(g, \mathit{sub})}{\mathit{C}(g)}\)	"\(\mathit{RewSub}(g, \mathit{sub})\) returns the total rework count for subset \(\mathit{sub}\) in group \(g\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-rework-percentage-c-g	Expected Rework Percentage	C	G	\(\mathit{e}\mathit{RewP}(g)\)	\(\frac{\sum _{c \in g} \mathit{RewP}(c)}{\mathit{C}(g)}\)	\(\frac{\sum _{c \in g} \mathit{RewP}(c)}{\mathit{C}(g)}\)	"\(\mathit{RewP}(c)\) returns the rework percentage for case \(c\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-rework-percentage-q-g	Expected Rework Percentage	Q	G	\(\mathit{e}\mathit{RewP}(g)\)	\(\frac{\sum _{c \in g} \mathit{RewP}(c)}{\mathit{C}(g)}\)	\(\frac{\sum _{c \in g} \mathit{RewP}(c)}{\mathit{C}(g)}\)	"\(\mathit{RewP}(c)\) returns the rework percentage for case \(c\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-rework-percentage-by-value-q-g	Expected Rework Percentage by Value	Q	G	\(\mathit{e}\mathit{RewPV}(g)\)	\(\frac{\sum _{c \in g} \mathit{RewPV}(c, \mathit{val})}{\mathit{C}(g)}\)	\(\frac{\sum _{c \in g} \mathit{RewPV}(c, \mathit{val})}{\mathit{C}(g)}\)	"\(\mathit{RewPV}(c, \mathit{val})\) returns the rework percentage by value \(\mathit{val}\) for case \(c\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-rework-time-q-g	Expected Rework Time	Q	G	\(\mathit{e}\mathit{RT}(g)\)	\(\frac{\mathit{RT}(g)}{\mathit{C}(g)}\)	\(\frac{\mathit{RT}(g)}{\mathit{C}(g)}\)	"\(\mathit{RT}(g)\) returns the total rework time for group \(g\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-role-count-f-g	Expected Role count	F	G	\(\mathit{e}\mathit{Role}(g)\)	\(\frac{\sum _{c \in g} \mathit{Role}(c)}{\mathit{C}(g)}\)	\(\frac{\sum _{c \in g} \mathit{Role}(c)}{\mathit{C}(g)}\)	"\(\mathit{Role}(c)\) returns the role count for case \(c\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-role-count-g-g	Expected Role count	G	G	\(\mathit{e}\mathit{Role}(g)\)	\(\frac{\sum _{c \in g} \mathit{Role}(c)}{\mathit{C}(g)}\)	\(\frac{\sum_{c \in \mathit{cases}(g)} \mathit{Role}(c)}{\mathit{C}(g)}\)	"$\mathit{cases}(g)$ returns the set of cases in group of cases $g$.
\newline $\mathit{Role}(c)$ returns the role count of case $c$.
\newline$\mathit{C}(g)$ returns the case count of group of cases $g$. \\"
expected-service-and-lead-time-ratio-t-g	Expected Service and Lead Time Ratio	T	G	\(\mathit{e}\mathit{SLTR}(g)\)	\(\frac{\mathit{ST}(g)}{\sum _{c \in g} \mathit{LT}(c)}\)	\(\frac{\mathit{ST}(g)}{\sum _{c \in g} \mathit{LT}(c)}\)	"\(\mathit{ST}(g)\) returns the total service time accumulated across all cases in group \(g\).
\newline \(\mathit{LT}(c)\) returns the total lead time of case \(c\). \\"
expected-service-time-t-g	Expected Service Time	T	G	\(\mathit{e}\mathit{ST}(g)\)	\(\frac{\mathit{ST}(g)}{\mathit{C}(g)}\)	\(\frac{\mathit{ST}(g)}{\mathit{C}(g)}\)	"\(\mathit{ST}(g)\) returns the total service time accumulated across all cases in group \(g\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-service-time-from-activity-a-to-activity-b-t-g	Expected Service Time from activity A to activity B	T	G	"\(\mathit{e}\mathit{STAB}\mathit{^{\times}}(g, \mathit{a}, \mathit{b})\)
\newline \newline \(\mathit{\times} \in \{\mathit{s}, \mathit{c}, \mathit{sc}, \mathit{w}\}\)"	"\(\frac{\mathit{STAB}\mathit{^{\times}}(g, \mathit{a}, \mathit{b})}{|\{c \in g \mid \mathit{fi}\mathit{^{sc}}(c, \mathit{a}, \mathit{b}) \neq \emptyset\}|}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{s}, \mathit{c}, \mathit{sc}, \mathit{w}\}$. If $\mathit{\times} = \mathit{s}$, then the function considers activity instances that were started within the start and end activity instances, i.e., it uses $\mathit{STAB}\mathit{^{s}}$; if $\mathit{\times} = \mathit{c}$, then the function considers activity instances that were completed within the start and end activity instances, i.e., it uses $\mathit{STAB}\mathit{^{c}}$; if $\mathit{\times} = \mathit{sc}$, then the function considers activity instances that were either started or completed within the start and end activity instances, i.e., it uses $\mathit{STAB}\mathit{^{sc}}$; if $\mathit{\times} = \mathit{^{w}}$, then the function considers all activity instances that were active within the start and end activity instances, i.e., it uses $\mathit{STAB}\mathit{^{w}}$."	\(\frac{\mathit{STAB}(g, \mathit{a}, \mathit{b})}{|\{c \in g \mid \mathit{fi}(c, \mathit{a}, \mathit{b}) \neq \emptyset\}|}\)	"\(\mathit{STAB}\) returns the total service time from activity \(\mathit{a}\) to activity \(\mathit{b}\) accumulated across all cases in group \(g\).
\newline \(\mathit{fi}\) returns the set of first instances of activity \(\mathit{b}\) that occur after the first instance of \(\mathit{a}\) in case \(c\). \\"
expected-successful-outcome-unit-count-q-g	Expected Successful outcome Unit Count	Q	G	"\(\mathit{e}\mathit{SUC}\mathit{^{\times}}(g)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{SUC}\mathit{^{\times}}(g)}{\mathit{C}(g)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for outcome unit calculations, i.e., it uses $\mathit{SUC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for outcome unit calculations, i.e., it uses $\mathit{SUC}\mathit{^{sum}}$."	\(\frac{\mathit{SUC}(g)}{\mathit{C}(g)}\)	"\(\mathit{SUC}(g)\) returns the total successful outcome unit count for group \(g\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-successful-outcome-unit-percentage-q-g	Expected Successful outcome Unit Percentage	Q	G	"\(\mathit{e}\mathit{SUP}\mathit{^{\times}}(g)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\sum _{c \in g} \mathit{SUP}\mathit{^{\times}}(c)}{\mathit{C}(g)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for outcome unit calculations, i.e., it uses $\mathit{SUP}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for outcome unit calculations, i.e., it uses $\mathit{SUP}\mathit{^{sum}}$."	\(\frac{\sum _{c \in g} \mathit{SUP}(c)}{\mathit{C}(g)}\)	"\(\mathit{SUP}(c)\) returns the successful outcome unit percentage of case \(c\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-total-cost-c-g	Expected Total Cost	C	G	"\(\mathit{e}\mathit{TC}\mathit{^{\times}}(g)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{TC}\mathit{^{\times}}(g)}{\mathit{C}(g)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sum}}$."	\(\frac{\mathit{TC}(g)}{\mathit{C}(g)}\)	"\(\mathit{TC}(g)\) returns the total cost for group \(g\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-total-cost-and-client-count-ratio-q-g	Expected Total Cost and Client count Ratio	Q	G	"\(\mathit{e}\mathit{TCCliR}\mathit{^{\times}}(g)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{TC}\mathit{^{\times}}(g)}{\mathit{Cli}(g)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sum}}$."	\(\frac{\mathit{TC}(g)}{\mathit{Cli}(g)}\)	"\(\mathit{TC}(g)\) returns the total cost of case group \(g\).
\newline \(\mathit{Cli}(g)\) returns the number of distinct clients associated with group \(g\). \\"
expected-total-cost-and-lead-time-ratio-c-g	Expected Total Cost and Lead Time Ratio	C	G	"\(\mathit{e}\mathit{TCLTR}\mathit{^{\times}}(g)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{TC}\mathit{^{\times}}(g)}{\sum _{c \in g} \mathit{LT}(c)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sum}}$."	\(\frac{\mathit{TC}(g)}{\sum _{c \in g} \mathit{LT}(c)}\)	"\(\mathit{TC}(g)\) returns the total cost of case group \(g\).
\newline \(\mathit{LT}(c)\) returns the total lead time of case \(c\). \\"
expected-total-cost-and-outcome-unit-ratio-c-g	Expected Total Cost and outcome Unit Ratio	C	G	"\(\mathit{e}\mathit{TCUR}\mathit{^{\times}}(g)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{TC}\mathit{^{\times}}(g)}{\mathit{U}\mathit{^{\times}}(g)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost and outcome unit calculations, i.e., it uses $\mathit{TC}\mathit{^{sgl}}$ and $\mathit{U}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost and outcome unit calculations, i.e., it uses $\mathit{TC}\mathit{^{sum}}$ and $\mathit{U}\mathit{^{sum}}$."	\(\frac{\mathit{TC}(g)}{\mathit{U}(g)}\)	"\(\mathit{TC}(g)\) returns the total cost of case group \(g\).
\newline \(\mathit{U}(g)\) returns the total outcome unit count of case group \(g\). \\"
expected-total-cost-and-service-time-ratio-c-g	Expected Total Cost and Service Time Ratio	C	G	"\(\mathit{e}\mathit{TCSTR}\mathit{^{\times}}(g)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{TC}\mathit{^{\times}}(g)}{\mathit{ST}(g)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sum}}$."	\(\frac{\mathit{TC}(g)}{\mathit{ST}(g)}\)	"\(\mathit{TC}(g)\) returns the total cost of case group \(g\).
\newline \(\mathit{ST}(g)\) returns the total service time of case group \(g\). \\"
expected-transportation-cost-c-g	Expected Transportation Cost	C	G	\(\mathit{e}\mathit{TransC}(g)\)	\(\frac{\mathit{TransC}(g)}{\mathit{C}(g)}\)	\(\frac{\mathit{TransC}(g)}{\mathit{C}(g)}\)	"\(\mathit{TransC}(g)\) returns the total transportation cost for group \(g\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
expected-unwanted-activity-count-q-g	Expected Unwanted Activity count	Q	G	\(\mathit{UAC}(g)\)	\(\frac{\sum _{c \in g} \mathit{UAC}(c)}{\mathit{C}(g)}\)	\(\frac{\sum _{c \in g} \mathit{UAC}(c)}{\mathit{C}(g)}\)	"\(\mathit{UAC}(c)\) returns the unwanted activity count for case \(c\).
\newline \(\mathit{C}(g)\) returns the number of cases in group \(g\). \\"
